MONTH,DAY,TIME,TEMP,PRESSURE
1,1,1,6.8,10207
1,1,2,5.8,10214
1,1,3,5.7,10220
1,1,4,6.0,10225
1,1,5,4.5,10230
1,1,6,2.0,10237
1,1,7,1.1,10242
1,1,8,0.7,10245
1,1,9,0.2,10248
1,1,10,2.0,10249
1,1,11,7.2,10245
1,1,12,7.9,10239
1,1,13,7.7,10231
1,1,14,7.2,10225
1,1,15,5.3,10220
1,1,16,5.0,10217
1,1,17,4.9,10205
1,1,18,4.9,10194
1,1,19,5.4,10188
1,1,20,5.7,10183
1,1,21,5.4,10170
1,1,22,5.3,10161
1,1,23,5.4,10146
1,1,24,5.6,10140
1,2,1,5.6,10124
1,2,2,5.6,10119
1,2,3,5.5,10109
1,2,4,5.4,10102
1,2,5,5.3,10093
1,2,6,5.3,10089
1,2,7,5.1,10087
1,2,8,5.0,10083
1,2,9,5.1,10082
1,2,10,5.4,10083
1,2,11,5.9,10076
1,2,12,6.3,10071
1,2,13,6.9,10068
1,2,14,7.2,10067
1,2,15,7.2,10067
1,2,16,7.1,10066
1,2,17,7.1,10065
1,2,18,6.9,10062
1,2,19,6.8,10060
1,2,20,7.0,10056
1,2,21,6.7,10051
1,2,22,6.7,10047
1,2,23,7.0,10043
1,2,24,7.3,10040
1,3,1,7.8,10035
1,3,2,8.4,10034
1,3,3,8.5,10032
1,3,4,8.5,10029
1,3,5,8.7,10027
1,3,6,8.8,10025
1,3,7,8.8,10026
1,3,8,8.2,10027
1,3,9,7.6,10025
1,3,10,7.7,10023
1,3,11,7.5,10017
1,3,12,7.8,10005
1,3,13,7.7,9994
1,3,14,7.3,9979
1,3,15,7.4,9969
1,3,16,7.0,9959
1,3,17,6.3,9944
1,3,18,6.0,9929
1,3,19,5.8,9915
1,3,20,5.8,9906
1,3,21,5.7,9896
1,3,22,5.6,9886
1,3,23,5.5,9879
1,3,24,5.3,9875
1,4,1,4.6,9870
1,4,2,4.6,9866
1,4,3,4.7,9865
1,4,4,4.9,9863
1,4,5,5.1,9862
1,4,6,5.3,9863
1,4,7,5.5,9866
1,4,8,6.1,9869
1,4,9,6.0,9873
1,4,10,6.7,9876
1,4,11,7.6,9876
1,4,12,7.4,9875
1,4,13,7.8,9874
1,4,14,7.2,9874
1,4,15,7.3,9876
1,4,16,7.4,9877
1,4,17,7.1,9879
1,4,18,7.1,9879
1,4,19,7.2,9880
1,4,20,7.3,9880
1,4,21,7.2,9879
1,4,22,7.5,9880
1,4,23,7.5,9880
1,4,24,7.4,9880
1,5,1,7.2,9880
1,5,2,7.2,9881
1,5,3,6.8,9882
1,5,4,6.5,9883
1,5,5,6.7,9883
1,5,6,6.8,9887
1,5,7,6.7,9890
1,5,8,6.4,9892
1,5,9,6.6,9899
1,5,10,6.9,9904
1,5,11,7.0,9904
1,5,12,7.3,9905
1,5,13,7.5,9906
1,5,14,7.5,9908
1,5,15,7.2,9911
1,5,16,6.9,9916
1,5,17,6.9,9920
1,5,18,7.2,9923
1,5,19,7.0,9926
1,5,20,6.9,9930
1,5,21,7.0,9933
1,5,22,6.8,9937
1,5,23,6.7,9939
1,5,24,6.6,9942
1,6,1,6.5,9944
1,6,2,6.4,9949
1,6,3,6.3,9950
1,6,4,5.8,9953
1,6,5,5.6,9956
1,6,6,5.4,9962
1,6,7,5.2,9964
1,6,8,4.7,9972
1,6,9,3.9,9977
1,6,10,4.0,9983
1,6,11,4.2,9981
1,6,12,4.7,9982
1,6,13,4.5,9983
1,6,14,4.8,9983
1,6,15,4.6,9988
1,6,16,4.3,9990
1,6,17,3.7,9991
1,6,18,3.7,9992
1,6,19,3.8,9993
1,6,20,3.8,9985
1,6,21,3.6,9980
1,6,22,3.7,9981
1,6,23,3.9,9980
1,6,24,4.2,9976
1,7,1,4.8,9971
1,7,2,5.2,9964
1,7,3,5.4,9955
1,7,4,5.6,9952
1,7,5,5.6,9936
1,7,6,5.7,9930
1,7,7,5.7,9918
1,7,8,5.9,9904
1,7,9,6.2,9901
1,7,10,6.6,9894
1,7,11,6.4,9879
1,7,12,6.2,9865
1,7,13,6.3,9854
1,7,14,5.9,9845
1,7,15,5.7,9839
1,7,16,6.6,9844
1,7,17,8.2,9858
1,7,18,6.9,9881
1,7,19,7.9,9896
1,7,20,7.9,9913
1,7,21,7.5,9923
1,7,22,7.3,9931
1,7,23,7.4,9945
1,7,24,7.2,9955
1,8,1,7.1,9964
1,8,2,7.2,9974
1,8,3,7.1,9982
1,8,4,7.1,9990
1,8,5,7.2,9996
1,8,6,7.2,10003
1,8,7,7.2,10006
1,8,8,7.3,10011
1,8,9,7.8,10019
1,8,10,6.9,10023
1,8,11,7.9,10022
1,8,12,8.6,10017
1,8,13,8.3,10015
1,8,14,8.3,10013
1,8,15,7.1,10015
1,8,16,5.5,10015
1,8,17,4.4,10015
1,8,18,4.0,10012
1,8,19,4.0,10014
1,8,20,4.1,10014
1,8,21,3.4,10013
1,8,22,2.5,10011
1,8,23,3.1,10007
1,8,24,1.7,10008
1,9,1,1.9,10007
1,9,2,2.0,10007
1,9,3,2.6,10003
1,9,4,4.5,9997
1,9,5,4.9,9994
1,9,6,5.2,9993
1,9,7,5.6,9991
1,9,8,5.8,9991
1,9,9,5.8,9989
1,9,10,6.2,9986
1,9,11,6.5,9985
1,9,12,6.4,9977
1,9,13,6.9,9970
1,9,14,6.9,9966
1,9,15,7.2,9964
1,9,16,7.2,9960
1,9,17,7.1,9955
1,9,18,7.3,9947
1,9,19,7.0,9941
1,9,20,7.0,9931
1,9,21,7.0,9920
1,9,22,7.5,9908
1,9,23,8.0,9899
1,9,24,8.1,9889
1,10,1,8.3,9881
1,10,2,8.5,9874
1,10,3,8.4,9875
1,10,4,8.3,9869
1,10,5,6.7,9872
1,10,6,6.3,9879
1,10,7,6.6,9881
1,10,8,6.7,9888
1,10,9,7.3,9892
1,10,10,7.1,9894
1,10,11,7.3,9894
1,10,12,8.0,9891
1,10,13,7.6,9890
1,10,14,7.8,9888
1,10,15,6.3,9892
1,10,16,5.5,9888
1,10,17,5.8,9892
1,10,18,5.7,9892
1,10,19,6.3,9898
1,10,20,6.6,9892
1,10,21,6.7,9895
1,10,22,6.2,9898
1,10,23,5.6,9901
1,10,24,4.8,9902
1,11,1,4.3,9897
1,11,2,4.3,9895
1,11,3,4.0,9889
1,11,4,4.3,9882
1,11,5,3.7,9876
1,11,6,3.6,9868
1,11,7,3.7,9861
1,11,8,4.4,9856
1,11,9,4.0,9853
1,11,10,4.7,9849
1,11,11,5.1,9844
1,11,12,5.5,9833
1,11,13,5.9,9826
1,11,14,6.7,9820
1,11,15,6.6,9819
1,11,16,6.7,9821
1,11,17,7.2,9823
1,11,18,6.9,9825
1,11,19,7.4,9831
1,11,20,7.0,9838
1,11,21,6.7,9847
1,11,22,6.6,9855
1,11,23,6.7,9861
1,11,24,6.8,9868
1,12,1,7.0,9875
1,12,2,7.1,9881
1,12,3,7.2,9889
1,12,4,7.1,9894
1,12,5,7.1,9898
1,12,6,7.1,9904
1,12,7,7.2,9910
1,12,8,6.2,9917
1,12,9,7.3,9923
1,12,10,7.5,9928
1,12,11,6.5,9931
1,12,12,7.2,9933
1,12,13,7.1,9935
1,12,14,6.4,9936
1,12,15,6.5,9939
1,12,16,6.2,9943
1,12,17,6.2,9945
1,12,18,6.4,9948
1,12,19,5.6,9952
1,12,20,6.5,9953
1,12,21,7.3,9956
1,12,22,6.9,9963
1,12,23,5.9,9961
1,12,24,7.3,9973
1,13,1,7.5,9987
1,13,2,7.2,10012
1,13,3,6.7,10029
1,13,4,6.5,10049
1,13,5,6.5,10063
1,13,6,6.5,10077
1,13,7,6.1,10087
1,13,8,6.6,10096
1,13,9,6.3,10108
1,13,10,5.4,10117
1,13,11,5.5,10123
1,13,12,5.4,10120
1,13,13,6.5,10129
1,13,14,6.2,10132
1,13,15,5.9,10135
1,13,16,5.7,10137
1,13,17,5.6,10138
1,13,18,5.1,10136
1,13,19,5.7,10133
1,13,20,4.6,10134
1,13,21,3.1,10130
1,13,22,3.1,10128
1,13,23,3.0,10123
1,13,24,2.7,10112
1,14,1,3.0,10099
1,14,2,3.2,10088
1,14,3,3.5,10073
1,14,4,3.8,10061
1,14,5,3.9,10050
1,14,6,3.8,10032
1,14,7,3.5,10019
1,14,8,3.8,10017
1,14,9,3.8,10016
1,14,10,4.4,10015
1,14,11,6.5,10012
1,14,12,4.6,10008
1,14,13,4.0,9999
1,14,14,3.0,9997
1,14,15,3.5,9988
1,14,16,3.9,9986
1,14,17,4.1,9986
1,14,18,4.8,9975
1,14,19,4.9,9966
1,14,20,5.2,9962
1,14,21,4.2,9966
1,14,22,3.7,9979
1,14,23,4.7,9986
1,14,24,5.0,9997
1,15,1,4.7,10009
1,15,2,4.1,10019
1,15,3,2.9,10027
1,15,4,2.9,10036
1,15,5,2.9,10043
1,15,6,3.3,10054
1,15,7,2.9,10064
1,15,8,3.8,10074
1,15,9,3.1,10081
1,15,10,4.0,10092
1,15,11,3.7,10098
1,15,12,2.8,10109
1,15,13,3.9,10118
1,15,14,4.5,10127
1,15,15,3.8,10138
1,15,16,2.7,10152
1,15,17,0.9,10162
1,15,18,2.3,10172
1,15,19,3.5,10181
1,15,20,2.2,10186
1,15,21,2.9,10194
1,15,22,2.6,10199
1,15,23,1.1,10202
1,15,24,1.4,10202
1,16,1,1.6,10201
1,16,2,3.5,10201
1,16,3,3.3,10194
1,16,4,5.9,10194
1,16,5,5.9,10192
1,16,6,5.6,10194
1,16,7,4.7,10199
1,16,8,4.8,10210
1,16,9,4.9,10217
