scheme_code,scheme_name,div_growth,div_reinvest,nav,nav_date
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,36.768,23 Mar 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,37.772,24 Mar 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,39.123,3 Apr 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,39.895,25 Mar 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,40.068,1 Apr 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,40.122,30 Mar 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,40.541,19 Mar 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,41.452,31 Mar 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,41.546,26 Mar 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,,27 Mar 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,,18 Mar 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,,18 May 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,,19 May 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,,20 Mar 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,,7 Apr 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,,8 Apr 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,,22 May 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,,20 May 2020
,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,,15 Apr 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,43.44,21 May 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,43.458,13 Apr 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,43.89,21 Apr 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,43.9,16 Apr 2020
,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,43.901,15 May 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,43.971,17 Mar 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,44.063,14 May 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,44.071,12 May 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,44.098,9 Apr 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,44.164,7 May 2020
,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,44.242,5 May 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,44.364,11 May 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,44.37,8 May 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,44.464,6 May 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,44.566,24 Apr 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,44.709,4 May 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,44.783,22 Apr 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,44.881,16 Mar 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,44.967,13 May 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,45.201,17 Apr 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,45.242,27 Apr 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,45.276,23 Apr 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,45.315,20 Apr 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,45.588,28 Apr 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,46.244,29 Apr 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,46.445,12 Mar 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,47.326,30 Apr 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,48.307,13 Mar 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,50.635,11 Mar 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,50.701,9 Mar 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,,6 Mar 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,,2 Mar 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,,28 Feb 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,,4 Mar 2020
,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,,5 Mar 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,,3 Mar 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,,3 Feb 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,,27 Feb 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,,26 Feb 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,,25 Feb 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,56.898,4 Feb 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,56.937,24 Feb 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,56.938,6 Jan 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,57.032,8 Jan 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,57.099,18 Feb 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,57.135,31 Jan 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,57.168,7 Jan 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,57.215,17 Feb 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,57.431,30 Jan 2020
,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,57.456,10 Feb 2020
,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,57.489,5 Feb 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,57.524,14 Feb 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,57.616,28 Jan 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,57.624,22 Jan 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,57.79,11 Feb 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,57.836,19 Feb 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,57.851,6 Feb 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,57.857,7 Feb 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,57.88,29 Jan 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,57.89,21 Jan 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,57.903,9 Jan 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,57.939,20 Feb 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,57.943,27 Jan 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,57.993,13 Feb 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,58.057,3 Jan 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,58.064,12 Feb 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,58.144,23 Jan 2020
,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,58.159,10 Jan 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,58.191,20 Jan 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,58.285,2 Jan 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,58.486,13 Jan 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,58.49,24 Jan 2020
,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,58.627,15 Jan 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,58.682,14 Jan 2020
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,INF769K01AX2,NULL,58.755,17 Jan 2020
