,Year,Category,Name,Birthdate,Birth Place,Country,Residence,Role/Affiliate,Field/Language,Prize Name,Motivation
0,1901,chemistry,Jacobus Henricus van 't Hoff,30 August 1852,Rotterdam,the Netherlands,," Berlin University, Berlin, Germany"," Physical chemistry, chemical kinetics",The Nobel Prize in Chemistry,The Nobel Prize in Chemistry 1901 was awarded to Jacobus H. van 't Hoff in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions.
1,1901,literature,Sully Prudhomme,16 March 1839,Paris,France,France,, French,The Nobel Prize in Literature,"The Nobel Prize in Literature 1901 was awarded to Sully Prudhomme in special recognition of his poetic composition, which gives evidence of lofty idealism, artistic perfection and a rare combination of the qualities of both heart and intellect."
2,1901,medicine,Emil Adolf von Behring,15 March 1854,Hansdorf (now Jankowa ?aga?ska),Prussia (now Poland),," Marburg University, Marburg, Germany",,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1901 was awarded to Emil von Behring for his work on serum therapy, especially its application against diphtheria, by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths."
3,1901,peace,Frédéric Passy,20 May 1822,Paris,France,France, Founder and President of first French peace society (since 1889 called Société française pour l'arbitrage entre nations)," Humanitarian work, peace movement",The Nobel Peace Prize,The Nobel Peace Prize 1901 was awarded jointly to Jean Henry Dunant and Frédéric Passy
4,1901,peace,Jean Henry Dunant,8 May 1828,Geneva,Switzerland,Switzerland," Originator Geneva Convention (Convention de Genève), Founder of the International Committee of the Red Cross, Geneva"," Humanitarian work, peace movement",The Nobel Peace Prize,The Nobel Peace Prize 1901 was awarded jointly to Jean Henry Dunant and Frédéric Passy
5,1901,physics,Wilhelm Conrad Röntgen,27 March 1845,Lennep (now Remscheid),Prussia (now Germany),," Munich University, Munich, Germany"," X-rays, atomic physics",The Nobel Prize in Physics,The Nobel Prize in Physics 1901 was awarded to Wilhelm Conrad Röntgen in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him.
6,1902,chemistry,Hermann Emil Fischer,9 October 1852,Euskirchen,Prussia (now Germany),," Berlin University, Berlin, Germany", Organic chemistry,The Nobel Prize in Chemistry,The Nobel Prize in Chemistry 1902 was awarded to Emil Fischer in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses.
7,1902,literature,Christian Matthias Theodor Mommsen,30 November 1817,Garding,Schleswig (now Germany),Germany,, German,The Nobel Prize in Literature,"The Nobel Prize in Literature 1902 was awarded to Theodor Mommsen the greatest living master of the art of historical writing, with special reference to his monumental work, A history of Rome."
8,1902,medicine,Ronald Ross,13 May 1857,Almora,India,," University College, Liverpool, United Kingdom",,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1902 was awarded to Ronald Ross for his work on malaria, by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it."
9,1902,peace,Charles Albert Gobat,21 May 1843,Tramelan,Switzerland,Switzerland," Honorary Secretary, Permanent International Peace Bureau, Bern, Switzerland, Secretary General, Inter-Parliamentary Union", Peace movement,The Nobel Peace Prize,The Nobel Peace Prize 1902 was awarded jointly to Élie Ducommun and Charles Albert Gobat
10,1902,peace,Élie Ducommun,19 February 1833,Geneva,Switzerland,Switzerland," Honorary Secretary, Permanent International Peace Bureau, Bern, Switzerland", Peace movement,The Nobel Peace Prize,The Nobel Peace Prize 1902 was awarded jointly to Élie Ducommun and Charles Albert Gobat
11,1902,physics,Hendrik Antoon Lorentz,18 July 1853,Arnhem,the Netherlands,," Leiden University, Leiden, the Netherlands"," Atomic physics, quantum physics",The Nobel Prize in Physics,The Nobel Prize in Physics 1902 was awarded jointly to Hendrik Antoon Lorentz and Pieter Zeeman in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena
12,1902,physics,Pieter Zeeman,25 May 1865,Zonnemaire,the Netherlands,," Amsterdam University, Amsterdam, the Netherlands"," Atomic physics, quantum physics",The Nobel Prize in Physics,The Nobel Prize in Physics 1902 was awarded jointly to Hendrik Antoon Lorentz and Pieter Zeeman in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena
13,1903,chemistry,Svante August Arrhenius,19 February 1859,Vik,Sweden,," Stockholm University, Stockholm, Sweden"," Physical chemistry, chemical kinetics",The Nobel Prize in Chemistry,The Nobel Prize in Chemistry 1903 was awarded to Svante Arrhenius in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation.
14,1903,literature,Bjørnstjerne Martinus Bjørnson,8 December 1832,Kvikne,Norway,Norway,, Norwegian,The Nobel Prize in Literature,"The Nobel Prize in Literature 1903 was awarded to Bjørnstjerne Bjørnson as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit."
15,1903,medicine,Niels Ryberg Finsen,15 December 1860,Thorshavn,Faroe Islands,," Finsen Medical Light Institute, Copenhagen, Denmark",,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1903 was awarded to Niels Ryberg Finsen in recognition of his contribution to the treatment of diseases, especially lupus vulgaris, with concentrated light radiation, whereby he has opened a new avenue for medical science."
16,1903,peace,William Randal Cremer,18 March 1828,Fareham,United Kingdom,United Kingdom," Secretary, International Arbitration League, Member, British Parliament"," Peace movement, world organizing",The Nobel Peace Prize,The Nobel Peace Prize 1903 was awarded to Randal Cremer.
17,1903,physics,Antoine Henri Becquerel,15 December 1852,Paris,France,," École Polytechnique, Paris, France", Nuclear physics,The Nobel Prize in Physics,"The Nobel Prize in Physics 1903 was divided, one half awarded to Antoine Henri Becquerel in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity,the other half jointly to Pierre Curie and Marie Curie, née Sklodowska in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel."
18,1903,physics,"Marie Curie, née Sklodowska",7 November 1867,Warsaw,Russian Empire (now Poland),,, Nuclear physics,The Nobel Prize in Physics,"The Nobel Prize in Physics 1903 was divided, one half awarded to Antoine Henri Becquerel in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity,the other half jointly to Pierre Curie and Marie Curie, née Sklodowska in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel."
19,1903,physics,Pierre Curie,15 May 1859,Paris,France,," École municipale de physique et de chimie industrielles (Municipal School of Industrial Physics and Chemistry), Paris, France", Nuclear physics,The Nobel Prize in Physics,"The Nobel Prize in Physics 1903 was divided, one half awarded to Antoine Henri Becquerel in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity,the other half jointly to Pierre Curie and Marie Curie, née Sklodowska in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel."
20,1904,chemistry,Sir William Ramsay,2 October 1852,Glasgow,Scotland,," University College, London, United Kingdom"," Inorganic chemistry, nuclear chemistry",The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 1904 was awarded to Sir William Ramsay in recognition of his services in the discovery of the inert gaseous elements in air, and his determination of their place in the periodic system."
21,1904,literature,Frédéric Mistral,8 September 1830,Maillane,France,France,, Occitan,The Nobel Prize in Literature,"The Nobel Prize in Literature 1904 was divided equally between Frédéric Mistral in recognition of the fresh originality and true inspiration of his poetic production, which faithfully reflects the natural scenery and native spirit of his people, and, in addition, his significant work as a Provençal philologist and José Echegaray y Eizaguirre in recognition of the numerous and brilliant compositions which, in an individual and original manner, have revived the great traditions of the Spanish drama."
22,1904,literature,José Echegaray y Eizaguirre,19 April 1832,Madrid,Spain,Spain,, Spanish,The Nobel Prize in Literature,"The Nobel Prize in Literature 1904 was divided equally between Frédéric Mistral in recognition of the fresh originality and true inspiration of his poetic production, which faithfully reflects the natural scenery and native spirit of his people, and, in addition, his significant work as a Provençal philologist and José Echegaray y Eizaguirre in recognition of the numerous and brilliant compositions which, in an individual and original manner, have revived the great traditions of the Spanish drama."
23,1904,medicine,Ivan Petrovich Pavlov,14 September 1849,Ryazan,Russia,," Military Medical Academy, St. Petersburg, Russia",,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1904 was awarded to Ivan Pavlov in recognition of his work on the physiology of digestion, through which knowledge on vital aspects of the subject has been transformed and enlarged."
24,1904,peace,Institut de droit international (Institute of International Law),1873 in Ghent,,Belgium,, Scientific society," Peace movement, world organizing",The Nobel Peace Prize,The Nobel Peace Prize 1904 was awarded to Institute of International Law.
25,1904,physics,Lord Rayleigh (John William Strutt),12 November 1842,Langford Grove Maldon Essex,United Kingdom,," Royal Institution of Great Britain, London, United Kingdom"," Gas physics, molecular physics",The Nobel Prize in Physics,The Nobel Prize in Physics 1904 was awarded to Lord Rayleigh for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies.
26,1905,chemistry,Johann Friedrich Wilhelm Adolf von Baeyer,31 October 1835,Berlin,Prussia (now Germany),," Munich University, Munich, Germany"," Organic chemistry, industrial chemistry",The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 1905 was awarded to Adolf von Baeyer in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds."
27,1905,literature,Henryk Sienkiewicz,5 May 1846,Wola Okrzejska,Poland,Poland,, Polish,The Nobel Prize in Literature,The Nobel Prize in Literature 1905 was awarded to Henryk Sienkiewicz because of his outstanding merits as an epic writer.
28,1905,medicine,Robert Koch,11 December 1843,Clausthal (now Clausthal-Zellerfeld),Germany,," Institute for Infectious Diseases, Berlin, Germany",,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1905 was awarded to Robert Koch for his investigations and discoveries in relation to tuberculosis.
29,1905,peace,"Baroness Bertha Sophie Felicita von Suttner, née Countess Kinsky von Chinic und Tettau",9 June 1843,Prague,Austrian Empire (now Czech Republic),Austria," Author of <i>Lay Down Your Arms</i>, Honorary President of Permanent International Peace Bureau, Berne, Switzerland", Peace movement,The Nobel Peace Prize,The Nobel Peace Prize 1905 was awarded to Bertha von Suttner.
30,1905,physics,Philipp Eduard Anton von Lenard,7 June 1862,Pressburg (now Bratislava),Hungary (now Slovakia),," Kiel University, Kiel, Germany", Atomic physics,The Nobel Prize in Physics,The Nobel Prize in Physics 1905 was awarded to Philipp Lenard for his work on cathode rays.
31,1906,chemistry,Henri Moissan,28 September 1852,Paris,France,," Sorbonne University, Paris, France"," Inorganic chemistry, nuclear chemistry",The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 1906 was awarded to Henri Moissan in recognition of the great services rendered by him in his investigation and isolation of the element fluorine, and for the adoption in the service of science of the electric furnace called after him."
32,1906,literature,Giosuè Carducci,27 July 1835,Val di Castello,Tuscany (now Italy),Italy,, Italian,The Nobel Prize in Literature,"The Nobel Prize in Literature 1906 was awarded to Giosuè Carducci not only in consideration of his deep learning and critical research, but above all as a tribute to the creative energy, freshness of style, and lyrical force which characterize his poetic masterpieces."
33,1906,medicine,Camillo Golgi,7 July 1843,Corteno,Italy,," Pavia University, Pavia, Italy",,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1906 was awarded jointly to Camillo Golgi and Santiago Ramón y Cajal in recognition of their work on the structure of the nervous system
34,1906,medicine,Santiago Ramón y Cajal,1 May 1852,Petilla de Aragó,Spain,," Madrid University, Madrid, Spain",,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1906 was awarded jointly to Camillo Golgi and Santiago Ramón y Cajal in recognition of their work on the structure of the nervous system
35,1906,peace,Theodore Roosevelt,27 October 1858,New York NY,USA,USA," Collaborator of various peace treaties, President of United States of America", Negotiation,The Nobel Peace Prize,The Nobel Peace Prize 1906 was awarded to Theodore Roosevelt.
36,1906,physics,Joseph John Thomson,18 December 1856,Cheetham Hill near Manchester,United Kingdom,," University of Cambridge, Cambridge, United Kingdom", Atomic physics,The Nobel Prize in Physics,The Nobel Prize in Physics 1906 was awarded to J.J. Thomson in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases.
37,1907,chemistry,Eduard Buchner,20 May 1860,Munich,Bavaria (now Germany),," Landwirtschaftliche Hochschule (Agricultural College), Berlin, Germany", Biochemistry,The Nobel Prize in Chemistry,The Nobel Prize in Chemistry 1907 was awarded to Eduard Buchner for his biochemical researches and his discovery of cell-free fermentation.
38,1907,literature,Rudyard Kipling,30 December 1865,Bombay,British India,United Kingdom,, English,The Nobel Prize in Literature,"The Nobel Prize in Literature 1907 was awarded to Rudyard Kipling in consideration of the power of observation, originality of imagination, virility of ideas and remarkable talent for narration which characterize the creations of this world-famous author."
39,1907,medicine,Charles Louis Alphonse Laveran,18 June 1845,Paris,France,," Institut Pasteur, Paris, France",,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1907 was awarded to Alphonse Laveran in recognition of his work on the role played by protozoa in causing diseases.
40,1907,peace,Ernesto Teodoro Moneta,20 September 1833,Milan,Austrian Empire (now Italy),Italy," President, Lombard League of Peace"," Peace movement, world organizing",The Nobel Peace Prize,The Nobel Peace Prize 1907 was awarded jointly to Ernesto Teodoro Moneta and Louis Renault
41,1907,peace,Louis Renault,21 May 1843,Autun,France,France, Professor International Law," Peace movement, world organizing",The Nobel Peace Prize,The Nobel Peace Prize 1907 was awarded jointly to Ernesto Teodoro Moneta and Louis Renault
42,1907,physics,Albert Abraham Michelson,19 December 1852,Strelno (now Strzelno),Prussia (now Poland),," University of Chicago, Chicago, IL, USA"," Optical physics, electromagnetism",The Nobel Prize in Physics,The Nobel Prize in Physics 1907 was awarded to Albert A. Michelson for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid.
43,1908,chemistry,Ernest Rutherford,31 August 1871,Nelson,New Zealand,," Victoria University, Manchester, United Kingdom", Nuclear chemistry,The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 1908 was awarded to Ernest Rutherford for his investigations into the disintegration of the elements, and the chemistry of radioactive substances."
44,1908,literature,Rudolf Christoph Eucken,5 January 1846,Aurich,East Friesland (now Germany),Germany,, German,The Nobel Prize in Literature,"The Nobel Prize in Literature 1908 was awarded to Rudolf Eucken in recognition of his earnest search for truth, his penetrating power of thought, his wide range of vision, and the warmth and strength in presentation with which in his numerous works he has vindicated and developed an idealistic philosophy of life."
45,1908,medicine,Ilya Ilyich Mechnikov,16 May 1845,Kharkov (now Kharkiv),Russian Empire (now Ukraine),," Institut Pasteur, Paris, France",,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1908 was awarded jointly to Ilya Ilyich Mechnikov and Paul Ehrlich in recognition of their work on immunity
