datetime,height,temp
2018-07-01 18:30:00,-123,16.7
2018-07-01 18:40:00,-125,16.7
2018-07-01 18:50:00,-124,16.7
2018-07-01 19:00:00,-120,16.7
2018-07-01 19:10:00,-113,16.7
2018-07-01 19:20:00,-102,16.9
2018-07-01 19:30:00,-90,16.9
2018-07-01 19:40:00,-79,16.9
2018-07-01 19:50:00,-68,17.0
2018-07-01 20:00:00,-57,17.0
2018-07-01 20:10:00,-48,17.0
2018-07-01 20:20:00,-40,17.1
2018-07-01 20:30:00,-32,17.1
2018-07-01 20:40:00,-26,17.1
2018-07-01 20:50:00,-21,16.9
2018-07-01 21:00:00,-16,16.9
2018-07-01 21:10:00,-10,16.9
2018-07-01 21:20:00,-5,16.7
2018-07-01 21:30:00,-1,16.7
2018-07-01 21:40:00,4,16.7
2018-07-01 21:50:00,9,16.6
2018-07-01 22:00:00,14,16.6
2018-07-01 22:10:00,19,16.6
2018-07-01 22:20:00,23,16.5
2018-07-01 22:30:00,27,16.5
2018-07-01 22:40:00,31,16.5
2018-07-01 22:50:00,34,16.9
2018-07-01 23:00:00,38,17.0
2018-07-01 23:10:00,41,17.0
2018-07-01 23:20:00,44,16.9
2018-07-01 23:30:00,46,16.9
2018-07-02 23:40:00,48,16.7
2018-07-02 23:50:00,50,16.6
2018-07-02 00:00:00,52,17.0
2018-07-02 00:10:00,54,17.0
2018-07-02 00:20:00,55,17.0
2018-07-02 00:30:00,55,17.0
2018-07-02 00:40:00,54,17.0
2018-07-02 00:50:00,53,17.0
2018-07-02 01:00:00,50,17.0
2018-07-02 01:10:00,47,17.0
2018-07-02 01:20:00,43,16.9
2018-07-02 01:30:00,37,16.9
2018-07-02 01:40:00,31,16.9
2018-07-02 01:50:00,25,16.9
2018-07-02 02:00:00,18,16.9
2018-07-02 02:10:00,12,16.9
2018-07-02 02:20:00,6,16.8
2018-07-02 02:30:00,1,16.8
2018-07-02 02:40:00,-5,16.8
2018-07-02 02:50:00,-11,16.7
2018-07-02 03:00:00,-17,16.7
2018-07-02 03:10:00,-23,16.7
2018-07-02 03:20:00,-29,16.7
2018-07-02 03:30:00,-35,16.7
2018-07-02 03:40:00,-40,16.7
2018-07-02 03:50:00,-46,16.7
2018-07-02 04:10:00,-57,16.7
2018-07-02 04:20:00,-63,16.4
2018-07-02 04:30:00,-68,16.4
2018-07-02 04:40:00,-73,16.4
2018-07-02 04:50:00,-79,16.4
2018-07-02 05:00:00,-84,16.4
2018-07-02 05:10:00,-89,16.4
2018-07-02 05:20:00,-95,16.4
2018-07-02 05:30:00,-100,16.4
2018-07-02 05:40:00,-106,16.4
2018-07-02 05:50:00,-110,16.4
2018-07-02 06:00:00,-114,16.4
2018-07-02 06:10:00,-119,16.4
2018-07-02 06:20:00,-122,16.4
2018-07-02 06:30:00,-124,16.4
2018-07-02 06:40:00,-125,16.4
2018-07-02 06:50:00,-124,16.4
2018-07-02 07:00:00,-119,16.4
2018-07-02 07:10:00,-113,16.4
2018-07-02 07:20:00,-104,16.4
2018-07-02 07:30:00,-90,16.4
2018-07-02 07:40:00,-77,16.4
2018-07-02 07:50:00,-65,16.4
